Age,Qv_phys
-0.932560286,3.940207897
-0.571997231,6.751834382
-0.067208954,9.754542278
0.14912888,9.154000699
0.437579324,8.089404263
0.798142379,7.133997205
0.978423907,6.833726415
1.302930657,6.642645003
1.627437406,6.369671558
1.91588785,6.042103424
2.096169378,5.496156534
2.168281989,5.1685884
2.420676128,4.922912299
2.709126572,4.895614955
3.141802238,4.540749476
3.358140072,4.185883997
3.574477905,3.749126485
3.718703127,3.366963662
4.151378793,2.957503494
4.547998154,2.957503494
4.728279682,3.47615304
4.98067382,3.885613208
5.413349487,3.47615304
5.665743625,3.093990217
5.954194069,2.356961915
6.170531903,1.838312369
6.386869736,1.565338924
6.711376486,1.920204403
7.071939541,1.565338924
7.396446291,1.974799092
7.72095304,2.62993536
8.189685012,2.438853948
8.406022845,2.247772537
8.730529595,2.165880503
8.982923734,2.247772537
9.379543094,2.138583159
9.776162455,2.056691125
10.20883812,2.711827393
10.53334487,3.230476939
10.89390793,2.684530049
11.21841468,2.438853948
11.68714665,2.984800839
11.93954079,3.366963662
12.26404754,3.612639762
12.6967232,3.312368973
13.38179301,4.049397275
13.70629976,4.540749476
13.9586939,4.622641509
14.31925695,5.4142645
14.57165109,5.960211391
14.78798892,5.250480433
15.11249567,4.295073375
15.2927772,3.994802586
15.58122765,3.694531796
15.90573439,3.121287561
16.12207223,3.421558351
16.48263528,2.875611461
16.84319834,3.257774284
17.45615553,3.667234451
17.81671859,3.17588225
17.96094381,2.793719427
18.14122534,3.203179595
18.42967578,3.639937107
18.68206992,3.366963662
18.89840775,3.093990217
19.15080189,2.302367226
19.61953386,2.029393781
19.79981539,2.602638015
20.01615322,2.984800839
20.23249106,2.793719427
20.5209415,3.093990217
20.55699781,2.411556604
20.62911042,1.838312369
21.02572978,1.565338924
21.38629283,1.183176101
21.67474328,1.183176101
22.10741895,0.801013277
22.57615092,0.773715933
23.08093919,0.855607966
23.44150225,0.964797345
23.72995269,1.265068134
23.87417792,1.374257512
24.19868467,1.374257512
24.55924772,1.838312369
24.91981078,2.356961915
25.31643014,1.892907058
25.92938733,1.565338924
26.362063,1.647230957
26.57840083,1.811015024
27.0110765,1.619933613
27.66009,1.78371768
28.3451598,1.565338924
28.84994808,1.729122991
29.21051113,1.729122991
29.53501788,1.538041579
30.14797508,1.346960168
30.50853813,1.265068134
30.79698858,0.992094689
31.12149533,1.073986723
31.55417099,0.773715933
32.13107188,0.555337177
32.8882543,0.418850454
33.32092996,0.582634521
33.89783085,0.528039832
34.36656282,0.418850454
34.72712588,0.473445143
35.37613938,0.309661076
35.91698396,0.227769043
36.45782855,0.336958421
37.07078574,0.200471698
38.26064382,0.282363732
39.01782624,0.418850454
39.48655821,0.691823899
39.99134649,0.39155311
40.7124726,0.309661076
41.72204915,0.309661076
42.44317526,0.418850454
