Age,Qv_phys
-0.722696447,4.073462298
-0.583015621,4.475001703
-0.487465839,4.836591513
-0.439286076,5.539643076
-0.425115557,5.205282338
-0.262626944,4.551937879
-0.255069334,4.906682106
-0.202166065,4.185750289
-0.137345026,3.898510896
-0.072876953,3.646635107
-0.00166712,3.389384839
0.141705186,4.234384579
0.145247815,3.862922315
0.151152198,3.508446291
0.193385901,4.650258237
0.253577701,5.048594854
0.303415809,5.459918182
0.360097884,5.852442332
0.402088465,6.23920799
0.453456594,6.64601814
0.49596815,7.412599619
0.532406626,7.012975955
1.011557018,7.638509743
1.284066991,7.577441801
1.370675615,7.369930832
1.499240865,7.252213746
1.615439117,7.715073905
1.728803266,7.961929767
1.925010446,7.620354409
2.119504707,7.419879436
2.347831183,7.210599809
2.467850312,6.979966257
2.7267061,7.207776611
2.989145859,6.95239345
3.202537198,6.679636946
3.400924458,6.449747974
3.591214278,6.185375656
3.67779459,5.938510267
3.826040015,5.701280567
3.967745201,5.433791976
4.114764331,5.183155524
4.440822513,5.226326021
4.6542281,5.211838431
4.761294241,4.978853311
4.884105402,4.867345549
5.158068761,4.949269619
5.488039408,4.861215176
5.742209026,4.667682719
5.984960198,4.402879672
6.249198691,4.257181902
6.351541325,4.074654315
6.679764448,3.992588537
6.971895138,4.058833
7.283646547,4.261204959
7.570391158,4.441374806
7.929192393,4.488284177
8.218900773,4.600604678
8.504200547,4.471834344
8.64401633,4.278272473
8.851850602,4.178061781
9.169159077,4.260258357
9.418671345,4.147128942
9.600053983,4.335944418
9.910506427,4.242430693
10.19001991,4.350785028
10.44694231,4.604093203
10.57404096,4.869491179
10.79793515,5.038020695
11.04785157,4.872221981
11.23722123,4.754699952
11.29532035,5.022367346
11.4478896,5.336523398
11.61037822,5.353688441
11.75090253,5.181814505
12.06923311,5.21141271
12.2842651,5.166541789
12.43299499,4.964540772
12.54090894,4.864663511
12.73457269,5.168449016
12.92729174,5.420202983
13.04160059,5.711293509
13.15496474,5.961617056
13.26832889,6.211940604
13.38169304,6.465840202
13.49505719,6.717951774
13.61459823,6.970063347
13.74351361,7.130985628
14.02071595,6.946308153
14.10776342,6.743239561
14.25554168,6.621398406
14.31222376,6.940024521
14.32639428,7.249761597
14.35473531,7.511451877
14.45392894,7.776625323
14.494866,7.990429807
14.56729309,8.247688726
14.76568035,8.184728561
14.82236243,7.98566174
14.89006602,7.679909407
15.04909073,7.56440297
15.33789939,7.653089027
15.46408448,7.324092364
15.49310031,7.027280158
15.50254732,7.688849533
15.53088836,6.764440433
15.61091011,6.439966423
15.67926202,6.123170404
15.98434495,6.263955886
16.26964472,6.188338669
16.42036091,6.002879179
16.65952848,5.801325843
16.89976045,5.748126831
17.1852964,5.895907125
17.37305577,6.165451945
17.55443841,6.284892037
17.79817133,6.02896601
18.12125915,5.824439752
18.16660481,5.523713396
18.22328689,5.29354577
18.29945342,4.982002674
18.58300005,4.792248484
18.71925504,4.589486411
19.00361011,4.310769021
19.24828773,4.097898645
19.40475387,3.881026071
19.69162252,4.106668483
19.88596106,4.314249711
19.99331348,3.966619657
20.07490131,3.612151761
20.17315024,3.320346025
20.26950977,3.191930046
20.83662884,3.431467095
21.09635953,3.241360006
21.2841189,2.971144677
21.45416512,2.817374498
21.76591653,2.920673598
22.07766794,3.042194302
22.36296771,2.979906001
22.52923513,2.793951366
22.8234847,2.759687154
22.91845204,2.696682787
22.98458113,2.882637423
23.10739229,3.115259519
23.44613516,3.31157193
23.58918992,3.605755739
23.72798833,3.873753622
23.84571264,4.108122482
23.9528999,4.284449288
24.17112588,3.995504393
24.39533498,3.836151602
24.54333817,3.92326817
24.65670232,4.19186931
24.86264719,4.425917853
25.14940035,4.16164535
25.38471271,3.872309448
25.61399957,3.597847558
25.8994568,3.704145664
26.21723068,3.906170177
26.50772631,3.826714801
26.75771787,3.670798992
27.03234808,3.557879933
27.35476905,3.640044956
27.63428253,3.598071061
27.82912716,3.423738591
28.09640925,3.381778812
28.37604666,3.694821638
28.66445839,3.939802145
28.8495087,3.684724554
28.992881,3.39544309
29.13661055,3.168466045
29.4463376,3.172297527
29.758089,3.121582627
30.06984041,3.020152826
30.38159182,2.986017797
30.68448666,2.912139841
30.90673457,2.69962777
31.16411935,2.519668279
31.48689227,2.576397446
31.79864368,2.693106737
32.11039509,2.811441504
32.4221465,2.76671765
32.7338979,2.667099095
33.04564931,2.595903177
33.35740072,2.511053248
33.66915213,2.421326885
33.98090354,2.319897084
34.30540841,2.280251686
34.59765849,2.524010626
34.91615777,2.709036417
35.20968994,2.640743137
35.44223827,2.421630211
35.71147812,2.256381548
35.90632275,2.058581244
36.16493471,1.929172911
36.35977934,1.729361079
36.64181203,1.623271576
36.75832518,1.555028608
36.97171652,1.811715422
37.24687068,2.022341802
37.5329802,2.21212792
37.82194763,2.446198969
38.09212524,2.59029528
38.43044637,2.566254466
38.74219778,2.501495439
39.05394919,2.435649665
39.3657006,2.428153891
39.69634603,2.502860841
39.88469584,2.753229089
39.99550142,3.056830824
40.09851884,3.31482869
40.24629711,3.605255092
40.39129188,3.813304611
40.45210702,4.017437504
40.63497419,3.606021388
40.71953014,3.356326597
40.86777557,3.127239289
41.00948075,2.879061372
41.17007996,2.640061985
41.25037957,2.519489476
41.46293735,2.883591036
41.70710628,3.079045129
42.04937881,3.111229585
42.25648639,3.011375247
42.33584129,3.276092398
42.39819157,3.612151761
