Segment_Name,Nd143,La_Sm_N,Rb,Sr,La,Ce,Sm,Nd,Lu,Hf,U,Th,Pb
EPRR26,0.513167309,0.680763544,1.080758621,115.2322701,4.775633333,14.79434375,4.53465625,13.67435484,0.676533333,3.626166667,0.093677419,0.258645161,0.6103
MARR166,0.513105651,0.681867239,0.751,123.95,4.006666667,12.73333333,3.798333333,11.40166667,0.554333333,3.18,0.0505,0.143,0.5395
MARR167,0.51308997,0.686515617,1.632333333,127.0888889,4.165555556,13.3,3.922222222,11.84555556,0.545444444,2.845555556,0.082888889,0.261333333,0.508666667
BSCO7,0.513096954,0.687448902,2.197142857,139.1428571,2.8,8.381428571,2.632857143,7.687142857,0.382571429,2.072857143,0.06207,0.182,0.694285714
SEIR51,0.513050184,0.692352413,1.4372,112.38,3.406,10.376,3.18,9.532,0.4588,2.444,0.05875,0.19475,0.4674
GALA14,0.513072,0.692830324,2.043333333,74.06666667,4.03,11.97,3.76,10.65333333,0.654,2.613333333,0.091,0.29,0.568666667
SEIR66,0.51324878,0.695036354,1.2435,125.686,2.5515,7.469,2.373,6.6835,0.3735,1.771,0.0395,0.1415,0.389
MARR94,0.513120013,0.695764695,1.8405,85.2015,2.3755,6.648,2.207,5.7155,0.4385,1.3405,0.0665,0.2215,0.273
SEIR69,0.513081727,0.696412068,1.4208,128.5443846,5.83075,18.383375,5.412125,16.233,0.749125,4.439,0.110833333,0.2005,0.49
MARR36,0.513122833,0.701456892,1.58375,78.5675,2.704444444,7.8775,2.492222222,6.91875,0.463,1.706666667,0.080428571,0.197285714,0.296875
SWIR31,0.513188,0.702652982,2.05,128.3,4.96,14.53333333,4.563,13.15666667,0.62,3.52,0.145,0.27,0.5925
GALA7,0.513060681,0.702701132,1.283333333,91.7,2.764285714,7.425714286,2.542857143,7.062857143,0.436285714,1.65,0.045,0.1235,0.325075
MARR232,0.512976127,0.703293051,1.725,105.7090909,3.501363636,9.743181818,3.218181818,9.245909091,0.458,1.935,0.058714286,0.220818182,0.5528
MARR155,0.513039503,0.70396,2.150112,116.30225,3.41919625,10.82631125,3.1396825,9.419685,0.45181225,2.0321425,0.076773714,0.240001125,0.421911375
MARR121,0.513188232,0.705211203,1.428444128,140.8920172,4.349549286,13.21350078,3.986894464,11.93101429,0.557081627,2.968498333,0.084578807,0.224212622,0.488453775
AFAR11,0.513149,0.706543798,1.15,70.1,2.82,7.71,2.58,7.16,0.46,1.34,0.043,0.169,0.266
MARR187,0.513157,0.709743357,1.58,127,3.25,9.79,2.96,8.5,0.418,1.82,0.06,0.217,0.374
PARR13,0.51310104,0.710006049,1.22451152,113.2658174,4.359645272,12.98299636,3.969161693,11.38175754,0.563961389,2.929145217,0.087756172,0.250726185,0.496874739
MARR191,0.513154,0.710059172,1.5,117.2,3.57,10.74,3.25,9.24,0.473,2.04,0.069,0.231,0.369
AFAR8,0.513124,0.710852278,1.04,88,3.53,10.04,3.21,9.28,0.531,2,0.043,0.167,0.364
SEIR70,0.513065805,0.717014161,0.603333333,147.6,4.499,14.20266667,4.056,12.51166667,0.525333333,3.038333333,0.070666667,0.164,0.64
SWIR19c,0.513101,0.718511594,0.668938697,159.488814,3.785106279,12.34953721,3.40528907,10.96542605,0.42012893,2.62609,0.06522854,0.153883209,0.724344171
SEIR33,0.513010151,0.729542289,1.304333333,143.38,4.23,12.7225,3.748,11.506,0.503,2.9275,0.0705,0.178,0.5596
EPRR28,0.513154915,0.73028811,2.189869565,125.7260968,6.02173913,18.30933333,5.330125,16.12220833,0.724347826,4.139565217,0.117,0.288652174,0.717545455
BSCO4,0.513117429,0.745374572,1.7452,152.6,4.248,12.82,3.684,11.194,0.4684,3.088,0.073642857,0.186,0.616666667
CIRR14a,0.51301126,0.748278958,1.588333333,113.2916667,3.024583333,8.589583333,2.612833333,7.595916667,0.402916667,1.876333333,0.061909091,0.228727273,0.506454545
GAKK16,0.513087687,0.750317518,3.250696875,153.71275,4.532716875,13.3592125,3.905019375,11.87618079,0.5364622,2.962254375,0.09881225,0.2997575,0.608049813
SEIR58,0.51302516,0.757578877,1.67,144.525,4.6,14.125,3.925,12.03,0.5345,4.31,0.133,0.396,0.913
BSCO2,0.513085804,0.759150769,4.78125,140,4.14125,12.08125,3.52625,10.39875,0.463875,2.7775,0.094625,0.310875,0.655375
JUAN12,0.513150244,0.762000161,1.814181818,112.9207833,5.016161429,14.46169714,4.255260263,13.11385769,0.66681476,3.4314544,0.126661444,0.33037696,0.573554609
JUAN15,0.513224731,0.763759778,1.929513889,125.2307625,3.9449875,10.7768625,3.3388625,9.418675,0.4937375,2.4192375,0.06552,0.20460274,0.420474359
SEIR42,0.513030258,0.769294172,1.143714286,115.2428571,3.64,10.91,3.058571429,9.08,0.4495,2.373333333,0.0675,0.18825,0.455285714
MARR186,0.513175,0.773220587,0.9,160.4,2.5,7.63,2.09,6.21,0.295,1.09,0.041,0.137,0.337
SEIR44,0.513052,0.778857768,1.66,113.9,3.94,11.32,3.27,9.95,0.47,2.47,0.074,0.218,0.429
BLAU10,0.513058641,0.786834611,5.798304878,154.3830976,3.310253659,9.242958537,2.719490244,8.193512195,0.451543902,1.717325,0.127858537,0.292717073,1.088460976
EPRR69,0.513048112,0.788924408,2.525,123.7666667,6.023,17.91,4.935,15.00888889,0.653333333,3.668888889,0.137,0.447888889,0.596888889
EPRR67,0.513131448,0.794591071,2.098,112.6333333,3.896666667,11.28833333,3.17,9.29,0.488166667,2.016666667,0.11825,0.3254,0.403666667
EPRR72,0.513111,0.797487978,2.62,108.5,9.185,32.45,7.445,24.6,1.095,6.39,0.2,0.43,0.9
PARR16,0.51309,0.797994997,1.506015034,134.1076824,5.201970226,16.57273092,4.213833581,13.16879418,0.540698292,3.01360649,0.109581108,0.269191136,0.635776845
MARR170,0.513095093,0.798816234,2.665,130.3666667,4.595,13.77833333,3.718333333,11.56166667,0.5005,2.483333333,0.095333333,0.323833333,0.451666667
SEIR53,0.513013142,0.802348242,1.58,120.8,3.893333333,11.18333333,3.136666667,9.49,0.430333333,2.386666667,0.0645,0.201,0.532333333
GALA13,0.513076538,0.809206567,2.917333333,90.18,5.322,15.00866667,4.251333333,12.64533333,0.667466667,3.052,0.139666667,0.4422,0.582
CIRR3a,0.513032,0.818177169,1.38,155.7,3.12,8.91,2.465,7.39,0.4,1.9,0.05,0.189,0.49
SEIR41,0.513006426,0.820891208,1.65675,123.075,3.905,11.0675,3.075,9.4275,0.4425,2.3575,0.086333333,0.251333333,0.51525
EPRR25,0.513136101,0.829279785,1.502529412,144.6880606,4.398764706,12.68323529,3.428777778,10.84733333,0.463352941,2.6945,0.086111111,0.2378,0.500133333
PARR15,0.513122,0.830986345,1.673596397,134.5481408,6.776623508,19.62935371,5.271438653,16.36240893,0.709142493,4.302135583,0.139809892,0.367688951,0.685943528
SEIR52,0.513017502,0.831196287,2.204,127.72,5.02,14.422,3.904,12.068,0.5318,3.068,0.11225,0.34225,0.5584
MARR157,0.513085,0.844112427,2.16,116.5,3.8,11.05,2.91,9.03,0.425,1.75,0.082,0.313,0.397
GALA15,0.513103216,0.844114089,3.375714286,64.48823529,11.63333333,29.46166667,8.908666667,29.57233333,0.8585,4.995555556,0.18325,0.342333333,1.148777778
AFAR15,0.51311,0.844903179,3.32,120,4.81,13.95,3.68,11.08,0.507,2.24,0.116,0.406,0.401
SEIR57,0.512991,0.864059688,1.97,134.6,3.97,11.26,2.97,9.31,0.362,2.08,0.071,0.236,0.605
AFAR18,0.513158,0.870727166,3.19,95.7,3.61,10.01,2.68,7.68,0.447,1.3,0.086,0.37,0.263
SEIR39,0.512963783,0.873715978,2.053333333,166.4166667,5.086666667,12.41,3.763333333,11.65833333,0.46475,2.5175,0.1324,0.3366,0.695666667
MARR182,0.513169595,0.874427748,2.96,97.06,4.74,13.112,3.504,10.592,0.506,2.244,0.1162,0.4282,0.4918
EPRR24,0.51311951,0.875078535,2.433142857,135.6566154,5.791714286,16.22114286,4.278285714,13.474,0.599,3.362285714,0.120285714,0.367142857,0.685571429
AFAR13,0.513136,0.875935659,1.5,125.5,3.74,10.05,2.76,8.43,0.39,1.53,0.06,0.239,0.29
GAKK17,0.513066,0.87736587,4.821825,171.982,5.892901667,16.25793333,4.341683333,13.7912608,0.5539776,3.276516667,0.1213685,0.438770333,0.7297765
SWIR25,0.513089,0.884386693,3.39,160,5.24,14.7,3.83,11.8,0.5,2.87,0.13,0.39,0.51
MARR169,0.513059677,0.88534706,2.90425,151.075,4.465,12.725,3.26,10.2125,0.4685,2.023333333,0.11175,0.37425,0.468
MARR190,0.513201335,0.888695924,3.095,127.8,4.585,12.69,3.335,9.945,0.4635,2.085,0.1085,0.363,0.4355
SEIR65,0.512971396,0.891049877,3.0932,164.6598182,4.670375,12.484,3.388125,10.662,0.456125,2.543875,0.05775,0.323857143,0.596
SWIR32,0.513242721,0.894224267,3.614,125.928,5.106,13.749,3.691,11.746,0.564,2.988,0.086,0.366,0.55
GAKK18,0.513071341,0.896203116,7.448818333,188.049,4.97599,14.03866667,3.589076667,11.70533333,0.446460167,2.71833,0.103464033,0.350695833,0.707059833
GAKK7,0.513142302,0.897429717,1.451597692,203.7992857,4.244956923,12.26998308,3.057613077,10.06779414,0.3830263,2.437345385,0.096417238,0.219987615,0.568735909
GALA16,0.513147,0.922035481,0.16,99.63333333,3.423333333,9.275,2.4,6.73,0.45,2.105,0.021,0.064666667,0.407
AARR3,0.51305,0.923892861,2.778451469,165.2356026,5.777450529,15.92989554,4.042260619,12.7857973,0.488539834,3.024211327,0.123525823,0.368879139,0.713572138
SEIR40,0.513002936,0.936538376,2.165,137.05,4.7775,13.0625,3.2975,10.395,0.44125,2.545,0.134666667,0.401666667,0.64025
SEIR35,0.513011261,0.945795937,2.341,159.3333333,4.433333333,11.85333333,3.03,9.456666667,0.39,2.26,0.1215,0.35,0.496666667
BMRN9,0.51308,0.949026532,4.26,214,5.3,14.7,3.61,11.7,0.43,2.33,0.142,0.412,0.78
GAKK10,0.513168374,0.949448394,2.736753769,180.4842778,4.647430407,12.74635296,3.164107407,10.32679519,0.430238519,2.449662963,0.119169404,0.308621722,0.548379615
BSCO8,0.513063,0.951989187,4.96,177,5.67,14.9,3.85,12.1,0.456,3.12,0.132,0.3815,0.733
