Segment_Name,Nd143,La_Sm_N,Rb,Sr,La,Ce,Sm,Nd,Lu,Hf,U,Th,Pb
MARR251,0.512883028,1.252509128,7.93,118.81,11.961,27.839,6.173,20.043,0.632666667,3.583333333,0.2658,1.1517,1.2245
MARR32e,0.513026,1.280821022,3.290714444,112.9641111,4.494910556,11.22997222,2.268518333,7.727266667,0.2907039,1.6405535,0.098834882,0.321484412,0.303798
MARR250,0.512848711,1.286140745,5.0595,161.445,8.274,19.141,4.1585,13.945,0.5198,3.056,0.17955,0.71505,0.8191
SEIR49,0.512974155,1.293282621,4.4252,159.64,5.65,15.595,2.824,9.314,0.38475,2.3425,0.133,0.5055,0.64
MARR15,0.513006115,1.307520527,8.6125,131.1875,6.584,15.48,3.255,11.005,0.3866,1.8136,0.186875,0.698125,0.643625
SEIR45,0.512912066,1.314121355,5.443333333,175.5333333,6.993333333,12.675,3.44,11.46333333,0.4775,2.535,0.246,0.888,0.69
GAKK13,0.513123387,1.321554604,10.05016096,179.59584,6.9225548,16.98516227,3.386031364,11.78663783,0.442204095,2.622701364,0.191190596,0.70269972,0.714406905
BMRN8,0.513019101,1.326469765,7.273333333,224.85,6.176666667,13.9925,3.01,10.735,0.3975,2.27,0.175333333,0.463166667,0.625
CHIL23,0.513099175,1.328861751,4.37,111.3333333,5.9,13.64,2.87,8.633333333,0.5065,2.33,0.108666667,0.460666667,0.55
GALA12,0.512997628,1.335851977,8.216666667,161.3952381,13.29095238,32.5852381,6.431428571,22.55333333,0.7675,4.878095238,0.397333333,1.325952381,0.93147619
MARR7,0.513115,1.339285714,8.37,171.6,6.63,15.66,3.2,10.85,0.36,1.871,0.207,0.737,0.6205
MARR9,0.513131,1.34794526,7.53,200.8,8.07,21,3.87,13.78,0.433,2.738,0.21,0.7475,1.0525
CIRR17,0.513018978,1.358800246,6.28,133.1857143,6.481714286,15.11592857,3.0835,10.49635714,0.347428571,1.994214286,0.180666667,0.712666667,0.7695
MARR88b,0.513117914,1.373029134,4.41716,105.591,5.59796,12.98896,2.63548,8.78708,0.4042,1.7355,0.194083333,0.627333333,0.554235294
MARR28e,0.513051,1.378324397,4.999666667,184.2415385,7.142769231,17.82792308,3.349846154,12.06676923,0.367461538,2.007875,0.158333333,0.535444444,0.412571429
SEIR20,0.512681665,1.412287248,7.92,170.657,7.157465,17.32055,3.276015,11.5072,0.3526445,2.55075,0.215649,0.8877695,0.990077
