Age,Qv_phys
0.040959963,16.52428372
0.54574824,14.20400943
1.086592823,11.61076171
2.348563517,10.92832809
4.223491404,7.95291754
4.800392293,7.188591894
6.062362986,5.987508735
6.495038652,5.496156534
7.288277374,5.905616702
8.586304373,5.932914046
9.704049844,5.386967156
10.7496827,5.632643256
11.75925926,5.796427324
12.80489212,7.679944095
13.88658129,7.925620196
14.86010153,8.635351153
15.47305873,7.40697065
16.01390331,6.396968903
16.48263528,5.496156534
16.87925464,4.841020266
18.32150687,4.677236198
19.47530864,5.086696366
20.59305411,4.131289308
21.99925003,3.503450384
23.36938964,2.548043326
25.24431753,2.493448637
26.68656975,2.875611461
28.59755394,2.384259259
30.11191877,2.275069881
32.49163494,1.838312369
34.90740741,1.510744235
38.29670013,1.428852201
40.42402215,1.592636268
41.32542979,1.701825646
42.37106265,2.08398847
